,Unnamed: 0,X,gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,countryCode,locality,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue,ISOcode,duplicated
0,1,1,1423584167,baa86fb2-7346-4507-a34f-44e4c1bd0d57,urn:lsid:tela-botanica.org:cel:2354679,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Caryota,Caryota mitis,,SPECIES,Caryota mitis Lour.,DO,,b2dbd210-90c2-11df-86a3-b8a03c50a862,18.51418,-69.96419,,,,,,,2016-11-14T00:00:00Z,14.0,11.0,2016.0,2738902,2738902.0,HUMAN_OBSERVATION,http://www.tela-botanica.org,cel,2354679,,Yves DEMOUY,2016-11-14T00:00:00Z,CC_BY_NC_4_0,,Yves DEMOUY,,,2018-12-06T16:53:20.591Z,,GEODETIC_DATUM_ASSUMED_WGS84,DOM,True
1,2,2,1423584391,baa86fb2-7346-4507-a34f-44e4c1bd0d57,urn:lsid:tela-botanica.org:cel:2283795,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Chamaerops,Chamaerops humilis,,SPECIES,Chamaerops humilis L.,TN,,b2dbd210-90c2-11df-86a3-b8a03c50a862,36.89713,10.788889999999999,,,,,,,2016-09-18T00:00:00Z,18.0,9.0,2016.0,2736625,2736625.0,HUMAN_OBSERVATION,http://www.tela-botanica.org,cel,2283795,,Patrick Leboulenger,2016-09-18T00:00:00Z,CC_BY_NC_4_0,,Patrick Leboulenger,,,2018-12-06T16:53:20.863Z,,GEODETIC_DATUM_ASSUMED_WGS84,TUN,True
2,3,3,1423584392,baa86fb2-7346-4507-a34f-44e4c1bd0d57,urn:lsid:tela-botanica.org:cel:2343174,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Chamaerops,Chamaerops humilis,,SPECIES,Chamaerops humilis L.,ES,,b2dbd210-90c2-11df-86a3-b8a03c50a862,28.522840000000002,-16.33793,,,,,,,2016-11-06T00:00:00Z,6.0,11.0,2016.0,2736625,2736625.0,HUMAN_OBSERVATION,http://www.tela-botanica.org,cel,2343174,,Perona Marrero DANIEL,2016-11-06T00:00:00Z,CC_BY_NC_4_0,,Perona Marrero DANIEL,,,2018-12-06T16:53:20.797Z,,GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES,ESP,True
3,4,4,1423584395,baa86fb2-7346-4507-a34f-44e4c1bd0d57,urn:lsid:tela-botanica.org:cel:2366454,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Chamaerops,Chamaerops humilis,,SPECIES,Chamaerops humilis L.,FR,,b2dbd210-90c2-11df-86a3-b8a03c50a862,43.353640000000006,5.41873,,,,,,,2016-09-15T00:00:00Z,15.0,9.0,2016.0,2736625,2736625.0,HUMAN_OBSERVATION,http://www.tela-botanica.org,cel,2366454,,Manuel CARTEREAU,2016-09-15T00:00:00Z,CC_BY_NC_4_0,,Manuel CARTEREAU,,,2018-12-06T16:53:20.822Z,,GEODETIC_DATUM_ASSUMED_WGS84,FRA,True
4,5,5,1423585323,baa86fb2-7346-4507-a34f-44e4c1bd0d57,urn:lsid:tela-botanica.org:cel:2368908,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Chamaedorea,Chamaedorea metallica,,SPECIES,Chamaedorea metallica O.F.Cook ex H.E.Moore,FR,,b2dbd210-90c2-11df-86a3-b8a03c50a862,43.71889,4.321940000000001,,,,,,,2016-07-17T00:00:00Z,17.0,7.0,2016.0,2734536,2734536.0,HUMAN_OBSERVATION,http://www.tela-botanica.org,cel,2368908,,Ruddy BENEZET,2016-07-17T00:00:00Z,CC_BY_NC_4_0,,Ruddy BENEZET,,,2018-12-06T16:53:21.601Z,,GEODETIC_DATUM_ASSUMED_WGS84,FRA,True
5,6,6,1423585335,baa86fb2-7346-4507-a34f-44e4c1bd0d57,urn:lsid:tela-botanica.org:cel:2370665,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Coccothrinax,Coccothrinax barbadensis,,SPECIES,Coccothrinax barbadensis Becc.,DO,,b2dbd210-90c2-11df-86a3-b8a03c50a862,18.51406,-69.96410999999999,,,,,,,2016-11-29T00:00:00Z,29.0,11.0,2016.0,2735268,2735268.0,HUMAN_OBSERVATION,http://www.tela-botanica.org,cel,2370665,,Yves DEMOUY,2016-11-29T00:00:00Z,CC_BY_NC_4_0,,Yves DEMOUY,,,2018-12-06T16:53:21.583Z,,GEODETIC_DATUM_ASSUMED_WGS84,DOM,True
6,7,7,1423587214,baa86fb2-7346-4507-a34f-44e4c1bd0d57,urn:lsid:tela-botanica.org:cel:2328289,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Hyophorbe,Hyophorbe indica,,SPECIES,Hyophorbe indica Gaertn.,RE,Grand bassin,b2dbd210-90c2-11df-86a3-b8a03c50a862,-21.18178,55.53505,,,,,,,2016-10-27T00:00:00Z,27.0,10.0,2016.0,2735601,2735601.0,HUMAN_OBSERVATION,http://www.tela-botanica.org,cel,2328289,,Michel Ducrot,2016-10-27T00:00:00Z,CC_BY_NC_4_0,,Michel Ducrot,,,2018-12-06T16:53:22.688Z,,GEODETIC_DATUM_ASSUMED_WGS84,REU,True
7,8,8,1423893223,4300f8d5-1ae5-49e5-a101-63894b005868,urn:catalog:JBRJ:RB:1003892,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Bactris,Bactris hatschbachii,,SPECIES,Bactris hatschbachii Noblick ex A.J.Hend.,BR,"RPPN Salto Morato, trilha do pico.",838537fc-4aeb-4980-8b58-97fbdcd1d91a,-25.144167000000003,-48.306111,,,610.0,,,,2013-07-18T00:00:00Z,18.0,7.0,2013.0,2732908,2732908.0,PRESERVED_SPECIMEN,JBRJ,RB,RB01003892,1307,J.M. Silva,2013-07-22T00:00:00Z,CC_BY_4_0,Rio de Janeiro Botanical Garden,M.L. Brotto; E. Barboza; J.M. Silva,,,2018-12-06T16:55:14.170Z,STILLIMAGE,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,BRA,True
8,9,13,1423897702,4300f8d5-1ae5-49e5-a101-63894b005868,urn:catalog:JBRJ:RB:1045060,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Syagrus,Syagrus glaucescens,,SPECIES,Syagrus glaucescens Becc.,BR,Vila de Galheiros. Campos rupestres sobre afloramentos rochosos.,838537fc-4aeb-4980-8b58-97fbdcd1d91a,-18.270556,-43.7975,,,1312.0,,,,2014-02-11T00:00:00Z,11.0,2.0,2014.0,5293887,5293887.0,PRESERVED_SPECIMEN,JBRJ,RB,RB01045060,18194,P.LEITMAN,,CC_BY_4_0,Rio de Janeiro Botanical Garden,"G.Martinelli; E.Martins, N.Pougy, D.Maurenza, M.Verdi",,,2018-12-06T16:55:17.780Z,STILLIMAGE,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,BRA,True
9,10,14,1423897749,4300f8d5-1ae5-49e5-a101-63894b005868,urn:catalog:JBRJ:RB:1045122,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Allagoptera,Allagoptera campestris,,SPECIES,Allagoptera campestris Kuntze,BR,"Parque Estadual de Biribiri, Lapa dos Fornos. Campos Rupestres com afloramentos rochosos.",838537fc-4aeb-4980-8b58-97fbdcd1d91a,-18.159167,-43.544167,,,1300.0,,,,2014-02-13T00:00:00Z,13.0,2.0,2014.0,2732027,2732027.0,PRESERVED_SPECIMEN,JBRJ,RB,RB01045122,18263,P.LEITMAN,,CC_BY_4_0,Rio de Janeiro Botanical Garden,"G.Martinelli; E.Martins, N.Pougy, D.Maurenza, M.Verdi",,,2018-12-06T16:55:17.645Z,STILLIMAGE,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,BRA,True
